Year,PPP,GDP,vector_1,vector_2,vector_3,vector_4,vector_5
1981,228.831006,1.22E+12,0.100003481,0.100004263,0.100065716,0.100020111,0.599906445
1982,219.276639,1.13E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1983,213.007241,1.24E+12,0.092599005,0.552755415,0.166161418,0.095321476,0.093162693
1984,208.619258,1.32E+12,0.100043222,0.599701762,0.100171596,0.100014508,0.100068919
1985,204.772357,1.40E+12,0.082919635,0.350074261,0.399832487,0.083996743,0.083176851
1986,203.966037,2.08E+12,0.100043163,0.599705696,0.100167871,0.100014493,0.10006877
1987,198.730394,2.53E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1988,193.159463,3.07E+12,0.100043193,0.599704087,0.100169435,0.1000145,0.100068808
1989,189.792476,3.05E+12,0.267549187,0.082896054,0.482541502,0.083701871,0.083311386
1990,187.710514,3.13E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1991,186.886354,3.58E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1992,185.767602,3.91E+12,0.100003481,0.100004263,0.100065663,0.100020111,0.599906504
1993,182.499528,4.45E+12,0.077464178,0.073236361,0.230987176,0.077500053,0.540812254
1994,179.158384,4.91E+12,0.599076569,0.100005232,0.10066171,0.100023136,0.100233331
1995,174.542779,5.45E+12,0.088975057,0.085419193,0.085452057,0.087371908,0.652781725
1996,170.553311,4.83E+12,0.151969075,0.153923392,0.074708074,0.074724279,0.544675231
1997,168.506941,4.41E+12,0.666820049,0.082881123,0.083114356,0.08377856,0.08340589
1998,166.556261,4.03E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
1999,162.03574,4.56E+12,0.100003518,0.100022681,0.598392785,0.10130626,0.100274742
2000,154.717851,4.89E+12,0.079376571,0.207022712,0.076488934,0.077989407,0.559122384
2001,149.724877,4.30E+12,0.100003481,0.100004263,0.100065656,0.100020111,0.599906504
2002,143.774205,4.12E+12,0.093425386,0.080196239,0.102873117,0.082507506,0.640997708
2003,139.516091,4.45E+12,0.082980968,0.076758884,0.098497152,0.079952486,0.661810517
2004,134.363066,4.82E+12,0.08291965,0.358419895,0.083096936,0.082907416,0.392656118
2005,129.551955,4.76E+12,0.100003518,0.100022666,0.598409712,0.101289533,0.100274548
2006,124.536829,4.53E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2007,120.394201,4.52E+12,0.100043185,0.599704623,0.100168861,0.100014493,0.100068808
2008,116.845814,5.04E+12,0.599079847,0.100005239,0.100658573,0.100023136,0.100233249
2009,115.150066,5.23E+12,0.666814446,0.082881123,0.083114415,0.083783887,0.083406121
2010,111.666587,5.70E+12,0.666819215,0.08288113,0.083114363,0.083779328,0.083405972
2011,107.454281,6.16E+12,0.100003503,0.100022644,0.59841609,0.101283252,0.100274459
2012,104.273972,6.20E+12,0.100003518,0.100022681,0.598394513,0.101304568,0.100274727
2013,101.302673,5.16E+12,0.599083483,0.100005232,0.100655027,0.100023128,0.100233153
2014,103.052076,4.85E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2015,103.469437,4.39E+12,0.59641397,0.100008234,0.100008093,0.1024222,0.101147562
2016,105.519502,4.92E+12,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
2017,105.101901,4.87E+12,0.100043185,0.599704802,0.100168735,0.100014493,0.100068778
2018,103.706485,4.95E+12,0.506294668,0.272260159,0.073603615,0.074062839,0.073778689
